[1.086s][info][gc           ] GC(11) Pause Young (G1 Evacuation Pause) 110M->0M(185M) 1.989ms
[1.086s][info][gc,cpu       ] GC(11) User=0.00s Sys=0.00s Real=0.00s
[1.152s][info][gc,start     ] GC(12) Pause Young (G1 Evacuation Pause)
[1.152s][info][gc,task      ] GC(12) Using 4 workers of 4 for evacuation
[1.155s][info][gc,phases    ] GC(12)   Pre Evacuate Collection Set: 0.0ms
[1.155s][info][gc,phases    ] GC(12)   Evacuate Collection Set: 1.6ms
[1.155s][info][gc,phases    ] GC(12)   Post Evacuate Collection Set: 1.0ms
[1.155s][info][gc,phases    ] GC(12)   Other: 0.2ms
[1.155s][info][gc,heap      ] GC(12) Eden regions: 110->0(132)
[1.155s][info][gc,heap      ] GC(12) Survivor regions: 1->1(14)
[1.155s][info][gc,heap      ] GC(12) Old regions: 0->0
[1.155s][info][gc,heap      ] GC(12) Humongous regions: 0->0
[1.155s][info][gc,metaspace ] GC(12) Metaspace: 4540K->4540K(1056768K)
[1.155s][info][gc           ] GC(12) Pause Young (G1 Evacuation Pause) 110M->0M(222M) 2.850ms
[1.155s][info][gc,cpu       ] GC(12) User=0.00s Sys=0.00s Real=0.00s
[1.252s][info][gc,start     ] GC(13) Pause Young (G1 Evacuation Pause)
[1.252s][info][gc,task      ] GC(13) Using 4 workers of 4 for evacuation
[1.254s][info][gc,phases    ] GC(13)   Pre Evacuate Collection Set: 0.0ms
[1.254s][info][gc,phases    ] GC(13)   Evacuate Collection Set: 1.9ms
[1.254s][info][gc,phases    ] GC(13)   Post Evacuate Collection Set: 0.2ms
[1.254s][info][gc,phases    ] GC(13)   Other: 0.2ms
[1.254s][info][gc,heap      ] GC(13) Eden regions: 132->0(132)
[1.254s][info][gc,heap      ] GC(13) Survivor regions: 1->1(17)
[1.254s][info][gc,heap      ] GC(13) Old regions: 0->0
[1.254s][info][gc,heap      ] GC(13) Humongous regions: 0->0
[1.254s][info][gc,metaspace ] GC(13) Metaspace: 4540K->4540K(1056768K)
[1.254s][info][gc           ] GC(13) Pause Young (G1 Evacuation Pause) 132M->0M(222M) 2.419ms
[1.254s][info][gc,cpu       ] GC(13) User=0.00s Sys=0.00s Real=0.00s
[1.338s][info][gc,start     ] GC(14) Pause Young (G1 Evacuation Pause)
[1.338s][info][gc,task      ] GC(14) Using 4 workers of 4 for evacuation
[1.340s][info][gc,phases    ] GC(14)   Pre Evacuate Collection Set: 0.0ms
[1.340s][info][gc,phases    ] GC(14)   Evacuate Collection Set: 1.6ms
[1.340s][info][gc,phases    ] GC(14)   Post Evacuate Collection Set: 0.1ms
[1.340s][info][gc,phases    ] GC(14)   Other: 0.2ms
[1.340s][info][gc,heap      ] GC(14) Eden regions: 132->0(132)
[1.340s][info][gc,heap      ] GC(14) Survivor regions: 1->1(17)
[1.340s][info][gc,heap      ] GC(14) Old regions: 0->0
[1.340s][info][gc,heap      ] GC(14) Humongous regions: 0->0
[1.340s][info][gc,metaspace ] GC(14) Metaspace: 4540K->4540K(1056768K)
